,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1949,20000000.0,Regency Enterprises,USA,Jason Friedberg,Adventure,36661504.0,Vampires Suck,PG-13,18-08-2010,82.0,3.5,Jenn Proske,41062.0,Jason Friedberg,2010
1950,42779261.0,Twentieth Century Fox Film Corporation,USA,Rob Letterman,Adventure,112000000.0,Gulliver's Travels,PG,25-12-2010,85.0,4.9,Jack Black,56336.0,Joe Stillman,2010
1951,125000000.0,Warner Bros.,USA,David Yates,Adventure,381011219.0,Harry Potter and the Deathly Hallows: Part 2,PG-13,15-07-2011,130.0,8.1,Daniel Radcliffe,608969.0,Steve Kloves,2011
1952,73864507.0,Paramount Pictures,USA,Martin Scorsese,Adventure,150000000.0,Hugo,PG,23-11-2011,126.0,7.5,Asa Butterfield,264187.0,John Logan,2011
1953,6000000.0,Hemdale,UK,Oliver Stone,Drama,138530565.0,Platoon,R,06-02-1987,120.0,8.1,Charlie Sheen,317585.0,Oliver Stone,1986
1954,6000000.0,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8742750.0,Blue Velvet,R,23-10-1986,120.0,7.8,Isabella Rossellini,146768.0,David Lynch,1986
1955,15000000.0,SLM Production Group,USA,David Cronenberg,Drama,40456565.0,The Fly,R,15-08-1986,96.0,7.5,Jeff Goldblum,129698.0,George Langelaan,1986
1956,6734844.0,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,17000000.0,9½ Weeks,R,21-02-1986,117.0,5.9,Mickey Rourke,31798.0,Elizabeth McNeill,1986
1957,2003822.0,Gaumont,France,Jean-Jacques Beineix,Drama,15400000.0,Betty Blue,R,07-11-1986,120.0,7.4,Jean-Hugues Anglade,14562.0,Philippe Djian,1986
1958,13800000.0,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982.0,The Color of Money,R,17-10-1986,119.0,7.0,Paul Newman,62495.0,Walter Tevis,1986
